objectid,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,comments,event_import_source,event_import_id,latitude,longitude,country_name,country_code,admin_division_name,gazetteer_closest_point,gazetteer_distance,submitted_date,last_edited_date
3,The Arunachal Times,http://www.arunachaltimes.in/six-killed-in-meghalaya-landslides/,10987,1497657600000.0,,Fatal landslide in Umiam,Landslide following continuous rain kills 3 in Umiam industrial area,"Umiam, Ribhoi, Meghalaya",5km,landslide,continuous_rain,medium,unknown,3.0,0.0,,,,GLC,,25.67836832,91.9234343,India,IN,Meghalaya,Shillong,6.3,1499712355000.0,
6,Kashmir Observer,http://www.kashmirobserver.net/index.php?option=com_content&view=article&id=4458:ladakh-highway-closed-for-traffic&catid=2:local-news&Itemid=3,1769,1271721600000.0,,"India Gate(?), Srinagar-Leh highway, Kashmir","Sources said several landslides also occurred at different places including Kanipathri and India gate on the highway due to rainfall in the lower regions.  The Srinagar-Leh national highway was closed to traffic today as high altitude areas of Kashmir valley experienced fresh snowfall for the third day.  The 434 km Srinagar-Leh Highway, the only road linking frontier region of Ladakh with rest of Jammu and Kashmir, was closed this morning after heavy snowfall at the 11,578 feet high Zojila pass, official sources said.","India Gate(?), Srinagar-Leh highway, Kashmir",unknown,landslide,downpour,medium,above_road,0.0,,,,,GLC,1769,34.38667467,76.34149164,India,IN,Jammu and Kashmir,Goma,7.35,1396310400000.0,
7,assamtribune,http://www.assamtribune.com/scripts/detailsnew.asp?id=apr2110/at06,1770,1271721600000.0,,"Kharghuli, Guwahati, Assam","GUWAHATI, April 20 – Civic woes of Guwahatians is continuing to unfold its murkier side with incessant downpour today forcing district administration to engage National Disaster Response Force (NDRF) to facilitate movement of residents of low-lying areas at the heart of the capital city.   The incessant rains also led to landslide in the hilly areas of the city, including at Kharghuli hillside and the hills adjoining the Raj Bhavan. ","Kharghuli, Guwahati, Assam",1km,landslide,downpour,medium,unknown,0.0,,,,,GLC,1770,26.1965,91.763,India,IN,Assam,Gauhati,1.77,1396310400000.0,
11,The Indian Express,http://indianexpress.com/article/india/india-others/mizorams-power-lifeline-on-shaky-ground-after-landslip/,7972,1440726300000.0,02:00,"Mizoram, India","A downpour was drenching the old building at 1.45am on August 28 when what seemed to be a tremor struck. Several glass panes on windows lining the western wall cracked and broke, as did parts of the concrete wall of the control room of the 132KV power sub-station at Zuangtui, on Aizawl’s eastern outskirts.","Mizoram, India",25km,landslide,downpour,large,unknown,0.0,0.0,,,,GLC,7972,23.4495,92.8112,India,IN,Mizoram,Mizoram,9.74,1467303660000.0,
14,alertnet,http://www.alertnet.org/thenews/fromthefield/222031/128136284695.htm,2206,1281054600000.0,00:00,"villages Shapoo(?), Bazgo(?) and wide area around Leh, Ladakh, Jammu and Kashmir","On the night of 5th and 6th August 2010, between 00:00 hrs and 00:30 hrs, intensive rainfall followed by massive cloudburst in high altitude terrain of Leh (3505m), triggered numerous debris flows, mud flows (earth spreads) and sand flows. These widespread, composite flows in the over saturated slope forming materials caused 182 deaths including that of 3 foreign tourists, damaged 607 houses, breached all major communication networks to Leh town besides inflicting an unaccountable loss of livestock and agriculture fields. The disaster caused severe damage to the settlements in parts of Leh town, Sabu village, Choklamsar, Leh airport area, Nimu, Ney and Bazgo area around the town. Widespread occurrence of varied, unconsolidated Quaternary drift deposits perched over gentle to fairly steep slopes are susceptible to mass movement under conditions of heavy saturation.   Unprecedented rainfall of the order of 240 mm within 24 hours on account of cloud bursts in the Leh region during 4-6 Aug","villages Shapoo(?), Bazgo(?) and wide area around Leh, Ladakh, Jammu and Kashmir",50km,landslide,downpour,very_large,unknown,234.0,,,,,GLC,2206,34.1416,77.4871,India,IN,Jammu and Kashmir,Leh,5.74,1410457350000.0,
26,onmanora,http://english.manoramaonline.com/news/just-in/cloudburst-strikes-jk-15-killed-as-unabated-rains-lash-north.html,7158,1436572800000.0,,"Srinigar-Jammu Highway, Gangroo, Udhampur",Landslide at several places along highway; unspecific; highway closed,"Srinigar-Jammu Highway, Gangroo, Udhampur",5km,landslide,continuous_rain,medium,above_road,0.0,0.0,,,,GLC,7158,32.9262,75.1447,India,IN,Jammu and Kashmir,Udhampur,1.51,1436796124000.0,
32,ekantipur.com,http://ekantipur.com/2013/07/23/top-story/floods-landslides-bring-misery-8-dead-13-missing/375202.html,5165,1374451200000.0,,"Chinnebas, Syangja District","In Syangja district, landslides killed three personsÑthree-month-old Mina BK, Rita Bhattarai and Dil Bahadur SarkiÑin Sekham, Kuwakot and Chinnebas. A landslide in Chinnebas destroyed a school building and a suspension bridge.","Chinnebas, Syangja District",5km,landslide,downpour,large,unknown,1.0,,,,,GLC,5165,27.9687,83.9066,Nepal,NP,Gandaki,Bahakot,14.13,1396310400000.0,
34,indiavision,http://www.indiavision.com/news/article/national/67832/1/print/,1995,1276646400000.0,,Tripi (Tirpai?) road of Upper Gumfa area in Kalimpong,"Siliguri, (IANS) At least three people were killed Thursday when a landslide destroyed a house in West Bengal's Darjeeling district, police said. The incident occurred on the Tripi road of Upper Gumfa area in Kalimpong. The dead were identified as Surekha Bhutia (48) and her two children, Debita Bhutia (21) and Sanjong Bhutia (18). Two others in the house were seriously injured, said police officer Puran Subba.",Tripi (Tirpai?) road of Upper Gumfa area in Kalimpong,10km,landslide,rain,medium,unknown,3.0,,,,,GLC,1995,27.0765,88.4808,India,IN,West Bengal,Kalimpong,0.39,1396310400000.0,
45,DNA India,http://www.dnaindia.com/india/report-pune-landslide-toll-mounts-106-bodies-recovered-so-far-2007689,6186,1406710800000.0,06:00,Malin landslide,"Lull in the rains is enabling NDRF jawans to clear the mud faster. There is little hope of finding more survivors. Rescue operations are to continue for two more days. At least 145 people are now confirmed dead in the tragedy amid fears that the toll may go up substantially, while around 100 trapped in a landslide near Bhimashankar in Pune district that took place on Wednesday. The landslide took place early in the morning in Malin village in Ambegaon tehsil of Pune due to heavy rainfall. The village is just 10 kilometres from Bhimashankar Jyotirling Temple in Ambegaon Taluka and 70 kilometres from Pune city. Rescue operations have started and many bodies have so far been extracted from under the debris by team of National Disaster Response Force. A 100 member team of the National Disaster Response Force (NDRF) has been rushed to the spot even as locals have begun efforts to save those trapped. ""We got the information about landslide at 10:45 am from Pune district collectorate and we s","Malin, Pune, Maharashtra",exact,mudslide,monsoon,large,deforested_slope,151.0,,,http://blogs.agu.org/landslideblog/files/2014/07/14_07-Malin-2-e1406792435386.jpg,,GLC,6186,19.16260832,73.68550038,India,IN,Maharashtra,Ghod,20.29,1420668198000.0,
57,himachal.us,http://himachal.us/2010/09/22/heavy-rains-damage-roads-in-himachal-alert-sounded-in-kinnaur/22231/news/ravinder,2467,1284854400000.0,,"Kumarhatti-Nahan road, Himachal Pradesh","(posted 9/22 but may cover events from past weeks)A police spokesman said that traffic on the Shimla- Kalka highway was disrupted near Solan. The beaten track of the Theog-Kotkhai-Jubbal road was blocked at several places because of landslides or traffic jams and the Chopal road was also blocked by landslides – disrupting marketing operations of apples.  Elsewhere, the Karsog-Mandi road, Karsog-Rampur road, Kasauli-Parwanoo road, Kumarhatti-Nahan road, Pulbhal-Solan road, Rajgarh-Habban road and several others blocked.","Kumarhatti-Nahan road, Himachal Pradesh",25km,landslide,downpour,medium,unknown,0.0,,,,,GLC,2467,30.7198,77.1695,India,IN,Himachal Pradesh,Nahan,21.19,1396310400000.0,
