source_name,event_date,event_title,event_description,location_description,location_accuracy_km,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,event_import_source,latitude,longitude,country_name,admin_division_name,gazetteer_closest_point,gazetteer_distance,year,month,season,severity
The Arunachal Times,2017-06-17,Fatal landslide in Umiam,Landslide following continuous rain kills 3 in Umiam industrial area,"Umiam, Ribhoi, Meghalaya",5.0,landslide,rainfall,2.0,unknown,3.0,GLC,25.67836832,91.9234343,0,Meghalaya,Shillong,6.3,2017,6,monsoon,medium
Kashmir Observer,2010-04-20,"India Gate(?), Srinagar-Leh highway, Kashmir","Sources said several landslides also occurred at different places including Kanipathri and India gate on the highway due to rainfall in the lower regions.  The Srinagar-Leh national highway was closed to traffic today as high altitude areas of Kashmir valley experienced fresh snowfall for the third day.  The 434 km Srinagar-Leh Highway, the only road linking frontier region of Ladakh with rest of Jammu and Kashmir, was closed this morning after heavy snowfall at the 11,578 feet high Zojila pass, official sources said.","India Gate(?), Srinagar-Leh highway, Kashmir",5.0,landslide,rainfall,2.0,infrastructure,0.0,GLC,34.38667467,76.34149164,0,Jammu and Kashmir,Goma,7.35,2010,4,non_monsoon,low
assamtribune,2010-04-20,"Kharghuli, Guwahati, Assam","GUWAHATI, April 20 – Civic woes of Guwahatians is continuing to unfold its murkier side with incessant downpour today forcing district administration to engage National Disaster Response Force (NDRF) to facilitate movement of residents of low-lying areas at the heart of the capital city.   The incessant rains also led to landslide in the hilly areas of the city, including at Kharghuli hillside and the hills adjoining the Raj Bhavan. ","Kharghuli, Guwahati, Assam",1.0,landslide,rainfall,2.0,unknown,0.0,GLC,26.1965,91.763,0,Assam,Gauhati,1.77,2010,4,non_monsoon,low
The Indian Express,2015-08-28,"Mizoram, India","A downpour was drenching the old building at 1.45am on August 28 when what seemed to be a tremor struck. Several glass panes on windows lining the western wall cracked and broke, as did parts of the concrete wall of the control room of the 132KV power sub-station at Zuangtui, on Aizawl’s eastern outskirts.","Mizoram, India",25.0,landslide,rainfall,3.0,unknown,0.0,GLC,23.4495,92.8112,0,Mizoram,Mizoram,9.74,2015,8,monsoon,low
alertnet,2010-08-06,"villages Shapoo(?), Bazgo(?) and wide area around Leh, Ladakh, Jammu and Kashmir","On the night of 5th and 6th August 2010, between 00:00 hrs and 00:30 hrs, intensive rainfall followed by massive cloudburst in high altitude terrain of Leh (3505m), triggered numerous debris flows, mud flows (earth spreads) and sand flows. These widespread, composite flows in the over saturated slope forming materials caused 182 deaths including that of 3 foreign tourists, damaged 607 houses, breached all major communication networks to Leh town besides inflicting an unaccountable loss of livestock and agriculture fields. The disaster caused severe damage to the settlements in parts of Leh town, Sabu village, Choklamsar, Leh airport area, Nimu, Ney and Bazgo area around the town. Widespread occurrence of varied, unconsolidated Quaternary drift deposits perched over gentle to fairly steep slopes are susceptible to mass movement under conditions of heavy saturation.   Unprecedented rainfall of the order of 240 mm within 24 hours on account of cloud bursts in the Leh region during 4-6 Aug","villages Shapoo(?), Bazgo(?) and wide area around Leh, Ladakh, Jammu and Kashmir",50.0,landslide,rainfall,4.0,unknown,234.0,GLC,34.1416,77.4871,0,Jammu and Kashmir,Leh,5.74,2010,8,monsoon,high
onmanora,2015-07-11,"Srinigar-Jammu Highway, Gangroo, Udhampur",Landslide at several places along highway; unspecific; highway closed,"Srinigar-Jammu Highway, Gangroo, Udhampur",5.0,landslide,rainfall,2.0,infrastructure,0.0,GLC,32.9262,75.1447,0,Jammu and Kashmir,Udhampur,1.51,2015,7,monsoon,low
ekantipur.com,2013-07-22,"Chinnebas, Syangja District","In Syangja district, landslides killed three personsÑthree-month-old Mina BK, Rita Bhattarai and Dil Bahadur SarkiÑin Sekham, Kuwakot and Chinnebas. A landslide in Chinnebas destroyed a school building and a suspension bridge.","Chinnebas, Syangja District",5.0,landslide,rainfall,3.0,unknown,1.0,GLC,27.9687,83.9066,1,Gandaki,Bahakot,14.13,2013,7,monsoon,medium
himachal.us,2010-09-19,"Kumarhatti-Nahan road, Himachal Pradesh","(posted 9/22 but may cover events from past weeks)A police spokesman said that traffic on the Shimla- Kalka highway was disrupted near Solan. The beaten track of the Theog-Kotkhai-Jubbal road was blocked at several places because of landslides or traffic jams and the Chopal road was also blocked by landslides – disrupting marketing operations of apples.  Elsewhere, the Karsog-Mandi road, Karsog-Rampur road, Kasauli-Parwanoo road, Kumarhatti-Nahan road, Pulbhal-Solan road, Rajgarh-Habban road and several others blocked.","Kumarhatti-Nahan road, Himachal Pradesh",25.0,landslide,rainfall,2.0,unknown,0.0,GLC,30.7198,77.1695,0,Himachal Pradesh,Nahan,21.19,2010,9,monsoon,low
kantipuronline,2008-07-18,Katunje VDC in Dhading district ,At least five people died after being buried in a landslide at Katunje VDC in Dhading district on Friday evening. ,Katunje VDC in Dhading district ,10.0,landslide,rainfall,2.0,unknown,8.0,GLC,28.9,80.87,1,Seti,Tolisain,22.19,2008,7,monsoon,medium
articles.timesofindia.indiatimes.com,2013-10-06,"Batahguli, Guwahati, Assam","Heavy downpour in the last 24 hours paralyzed life in Guwahati and a landslide triggered by the rain claimed the life of an elderly person in the city on Sunday. The rain also dampened the spirit of Durga Puja shopping in the city. Kamrup (Metro) additional deputy commissioner Dhrubajyoti Das said one Man Bahadur Gurung (80) of Batahghuli area in the city died when a rock rolled down the hills and hit Gurung, who was sitting at the foothills. Another landslide occurred on the Nilachal Hill, but no one was injured in the incident.","Batahguli, Guwahati, Assam",5.0,landslide,rainfall,2.0,unknown,1.0,GLC,26.1309,91.8383,0,Assam,Pomahi,5.26,2013,10,non_monsoon,medium
